,cardName,winnum,losenum
10638,爆米花 米莉,1,0
10639,巨雷枪,1,0
106310,红汽水 浅浅,1,0
106311,蓄力,1,0
10640,牙膏 露洁,1,1
10641,风暴针刺,1,1
10642,铅笔 追忆,1,1
10643,鼠标 点点,1,1
10644,海浪冲击,1,1
10645,胡乱抓挠,1,1
10646,超电磁炮,1,1
10647,红汽水 满满,1,1
10648,尖刺墙,1,1
10649,修建阵地,1,1
106410,爆裂药瓶,1,1
106411,纸巾 缠缠,1,1
10650,牙膏 露洁,0,1
10651,风暴针刺,0,1
10652,见证我！,0,1
10653,重新出发,0,1
10654,有丝分裂,0,1
10655,海浪冲击,0,1
10656,羽毛球 拉丽,0,1
10657,引力炸弹,0,1
10658,红汽水 浅浅,0,1
10659,纯净水 浅浅,0,1
106510,电池 伏特,0,1
106511,临摹,0,1
10660,牙膏 露洁,0,1
10661,风暴针刺,0,1
10662,海浪冲击,0,1
10663,爆裂药瓶,0,1
10664,接力,0,1
10665,羽毛球 拉丽,0,1
10666,自行车 闪电,0,1
10667,修建工事,0,1
10668,协力攻击,0,1
10669,纯净水 浅浅,0,1
106610,红汽水 浅浅,0,1
106611,滋水,0,1
10670,牙膏 露洁,2,0
10671,补水计划,2,0
10672,电池 焦耳,2,0
10673,铅笔 追忆,2,0
10674,胡乱抓挠,2,0
10675,羽毛球 拉丽,2,0
10676,留声机 回音,2,0
10677,电吉他 和鸣,2,0
10678,引力炸弹,2,0
10679,海浪冲击,2,0
106710,书 幻梦,2,0
106711,茶壶 灵愈,2,0
10680,牙膏 露洁,3,7
10681,补水计划,3,7
10682,羽毛球 拉丽,3,7
10683,电池 伏特,3,7
10684,海浪冲击,3,7
10685,见证我！,3,7
10686,电池 焦耳,3,7
10687,爆裂药瓶,3,7
10688,雨伞 守心,3,7
10689,巨雷枪,3,7
106810,鼠标 点点,3,7
106811,铅笔 追忆,3,7
10690,牙膏 露洁,0,2
10691,补水计划,0,2
10692,羽毛球 拉丽,0,2
10693,电池 伏特,0,2
10694,海浪冲击,0,2
10695,见证我！,0,2
10696,电池 焦耳,0,2
10697,爆裂药瓶,0,2
10698,雨伞 守心,0,2
10699,巨雷枪,0,2
106910,鼠标 点点,0,2
106911,风暴针刺,0,2
10700,牙膏 露洁,3,1
10701,补水计划,3,1
10702,羽毛球 拉丽,3,1
10703,电池 伏特,3,1
10704,海浪冲击,3,1
10705,见证我！,3,1
10706,电池 焦耳,3,1
10707,爆裂药瓶,3,1
10708,胡乱抓挠,3,1
10709,巨雷枪,3,1
107010,鼠标 点点,3,1
107011,铅笔 追忆,3,1
10712,羽毛球 拉丽,0,1
10713,牛奶 银河,0,1
10714,海浪冲击,0,1
10715,见证我！,0,1
10716,有丝分裂,0,1
10717,爆裂药瓶,0,1
10718,雨伞 守心,0,1
10719,巨雷枪,0,1
107110,鼠标 点点,0,1
107111,风暴针刺,0,1
10720,牙膏 露洁,0,1
10721,补水计划,0,1
10722,鼠标 点点,0,1
10723,电吉他 和鸣,0,1
10724,雨伞 守心,0,1
10725,风暴针刺,0,1
10726,海浪冲击,0,1
10727,胡乱抓挠,0,1
10728,引力炸弹,0,1
10729,羽毛球 拉丽,0,1
107210,电扇 彩虹,0,1
107211,英勇祝福,0,1
10730,牙膏 露洁,1,1
10731,补水计划,1,1
10732,巨雷枪,1,1
10733,铅笔 追忆,1,1
10734,电池 伏特,1,1
10735,鼠标 点点,1,1
10736,见证我！,1,1
10737,风暴针刺,1,1
10738,重新出发,1,1
10739,电池 焦耳,1,1
107310,羽毛球 拉丽,1,1
107311,英勇祝福,1,1
10740,牙膏 露洁,0,4
10741,补水计划,0,4
10742,巨雷枪,0,4
10743,铅笔 追忆,0,4
10744,电池 伏特,0,4
10745,鼠标 点点,0,4
10746,见证我！,0,4
10747,风暴针刺,0,4
10748,重新出发,0,4
10749,电池 焦耳,0,4
107410,羽毛球 拉丽,0,4
107411,胡乱抓挠,0,4
10750,牙膏 露洁,4,3
10751,补水计划,4,3
10752,巨雷枪,4,3
10753,铅笔 追忆,4,3
10754,电池 伏特,4,3
10755,鼠标 点点,4,3
10756,引力炸弹,4,3
10757,风暴针刺,4,3
10758,重新出发,4,3
10759,电吉他 和鸣,4,3
107510,电池 焦耳,4,3
107511,羽毛球 拉丽,4,3
10760,牙膏 露洁,0,2
10761,补水计划,0,2
10762,巨雷枪,0,2
10763,海浪冲击,0,2
10764,风暴针刺,0,2
10765,雨伞 守心,0,2
10766,鼠标 点点,0,2
10767,电池 伏特,0,2
10768,留声机 回音,0,2
10769,引力炸弹,0,2
107610,电吉他 和鸣,0,2
107611,羽毛球 拉丽,0,2
10770,牙膏 露洁,0,1
10771,补水计划,0,1
10772,巨雷枪,0,1
10773,海浪冲击,0,1
10774,风暴针刺,0,1
10775,雨伞 守心,0,1
10776,鼠标 点点,0,1
10777,电池 伏特,0,1
10778,见证我！,0,1
10779,引力炸弹,0,1
107710,铅笔 追忆,0,1
107711,羽毛球 拉丽,0,1
10780,牙膏 露洁,0,2
10781,补水计划,0,2
10782,胡乱抓挠,0,2
10783,铅笔 追忆,0,2
10784,风暴针刺,0,2
10785,羽毛球 拉丽,0,2
10786,见证我！,0,2
10787,电吉他 和鸣,0,2
10788,引力炸弹,0,2
10789,海浪冲击,0,2
107810,鼠标 点点,0,2
107811,电池 焦耳,0,2
10790,牙膏 露洁,0,1
10791,巨雷枪,0,1
10792,补水计划,0,1
10793,风暴针刺,0,1
10794,见证我！,0,1
10795,羽毛球 拉丽,0,1
10796,重新出发,0,1
10797,魅惑,0,1
10798,海浪冲击,0,1
10799,盔甲 怀抱,0,1
107910,嗜血杀戮,0,1
107911,临摹,0,1
10800,牙膏 露洁,1,0
10801,巨雷枪,1,0
10802,胡乱抓挠,1,0
10803,铅笔 追忆,1,0
10804,电池 伏特,1,0
10805,鼠标 点点,1,0
10806,引力炸弹,1,0
10807,风暴针刺,1,0
10808,重新出发,1,0
10809,电吉他 和鸣,1,0
108010,羽毛球 拉丽,1,0
108011,电池 焦耳,1,0
10812,超电磁炮,1,1
10813,铅笔 追忆,1,1
10814,鼠标 点点,1,1
10815,弹射锯片,1,1
10816,重新出发,1,1
10817,爆裂药瓶,1,1
10818,羽毛球 拉丽,1,1
10819,胡乱抓挠,1,1
108110,滋水,1,1
108111,奋力滋水,1,1
10820,牙膏 露洁,1,0
10821,投石支援,1,0
10822,鼠标 点点,1,0
10823,铅笔 追忆,1,0
10824,引力炸弹,1,0
10825,羽毛球 拉丽,1,0
10826,红汽水 浅浅,1,0
10827,红汽水 满满,1,0
10828,海浪冲击,1,0
10829,胡乱抓挠,1,0
108210,电吉他 和鸣,1,0
108211,尖刺墙,1,0
10830,牙膏 露洁,1,0
10831,投石支援,1,0
10832,超电磁炮,1,0
10833,海浪冲击,1,0
10834,混乱补给,1,0
10835,风暴针刺,1,0
10836,羽毛球 拉丽,1,0
10837,重新出发,1,0
10838,引力炸弹,1,0
10839,橡皮 忘怀,1,0
108310,巨兽陷阱,1,0
108311,尖刺墙,1,0
10840,牙膏 露洁,0,1
10841,战术核武,0,1
10842,电吉他 和鸣,0,1
10843,羽毛球 拉丽,0,1
10844,人工降雨,0,1
10845,巨雷枪,0,1
10846,补水计划,0,1
10847,海浪冲击,0,1
10848,鼠标 点点,0,1
10849,橡皮 忘怀,0,1
108410,铅笔 追忆,0,1
108411,重新出发,0,1
10850,牙膏 露洁,0,2
10851,协力攻击,0,2
10852,鼠标 点点,0,2
10853,电吉他 和鸣,0,2
10854,雨伞 守心,0,2
10855,接力,0,2
10856,爆裂药瓶,0,2
10857,魅惑,0,2
10858,胡乱抓挠,0,2
10859,引力炸弹,0,2
108510,茶壶 灵愈,0,2
108511,铅笔 追忆,0,2
10860,牙膏 露洁,0,1
10861,协力攻击,0,1
10862,鼠标 点点,0,1
10863,刀 藏锋,0,1
10864,引力炸弹,0,1
10865,羽毛球 拉丽,0,1
10866,红汽水 浅浅,0,1
10867,红汽水 满满,0,1
10868,海浪冲击,0,1
10869,胡乱抓挠,0,1
108610,电扇 彩虹,0,1
108611,尖刺墙,0,1
10870,牙膏 露洁,0,1
10871,协力攻击,0,1
10872,刀 藏锋,0,1
10873,刀 百炼,0,1
10874,鼠标 点点,0,1
10875,羽毛球 拉丽,0,1
10876,时钟 晨曦,0,1
10877,魅惑,0,1
10878,超电磁炮,0,1
10879,尖刺墙,0,1
108710,蜡烛 热泪,0,1
108711,海浪冲击,0,1
10880,牙膏 露洁,0,1
10881,协力攻击,0,1
10882,风暴针刺,0,1
10883,铅笔 追忆,0,1
10884,鼠标 点点,0,1
10885,刀 百炼,0,1
10886,刀 藏锋,0,1
10887,萨克斯 莉莉,0,1
10888,胡乱抓挠,0,1
10889,羽毛球 拉丽,0,1
108810,爆米花 米莉,0,1
108811,重新出发,0,1
10890,牙膏 露洁,0,1
10891,协力攻击,0,1
10892,海浪冲击,0,1
10893,超电磁炮,0,1
10894,投石支援,0,1
10895,胡乱抓挠,0,1
10896,风暴针刺,0,1
10897,红汽水 浅浅,0,1
10898,蓄力,0,1
10899,爆米花 米莉,0,1
108910,混乱补给,0,1
108911,红汽水 满满,0,1
10900,牙膏 露洁,0,1
10901,协力攻击,0,1
10902,海浪冲击,0,1
10903,超电磁炮,0,1
10904,投石支援,0,1
10905,胡乱抓挠,0,1
10906,风暴针刺,0,1
10907,红汽水 浅浅,0,1
10908,蓄力,0,1
10909,爆米花 米莉,0,1
109010,临摹,0,1
109011,红汽水 满满,0,1
10912,巨雷枪,2,0
10913,投石支援,2,0
10914,书 幻梦,2,0
10915,风暴针刺,2,0
10916,冰霜新星,2,0
10917,冰冻炸弹,2,0
10918,超电磁炮,2,0
10919,电池 焦耳,2,0
109110,羽毛球 拉丽,2,0
109111,爆裂药瓶,2,0
10920,牙膏 露洁,1,0
10921,重新出发,1,0
10922,橡皮 忘怀,1,0
10923,爆裂药瓶,1,0
10924,海浪冲击,1,0
10925,补水计划,1,0
10926,绿汽水 浅浅,1,0
10927,纯净水 浅浅,1,0
10928,茶壶 灵愈,1,0
10929,接力,1,0
109210,纯净水 满满,1,0
109211,留声机 回音,1,0
10930,牙膏 露洁,1,0
10931,临摹,1,0
10932,超电磁炮,1,0
10933,修建阵地,1,0
10934,铅笔 追忆,1,0
10935,鼠标 点点,1,0
10936,刀 藏锋,1,0
10937,风暴针刺,1,0
10938,全力滋水,1,0
10939,羽毛球 拉丽,1,0
109310,胡乱抓挠,1,0
109311,英勇祝福,1,0
10940,牙膏 露洁,0,1
10941,超电磁炮,0,1
10942,鼠标 点点,0,1
10943,刀 藏锋,0,1
10944,羽毛球 拉丽,0,1
10945,胡乱抓挠,0,1
10946,肥皂 滑滑,0,1
10947,剪刀 刺痛,0,1
10948,纯净水 浅浅,0,1
10949,自行车 闪电,0,1
109410,爆米花 米莉,0,1
109411,摩托 赤狸,0,1
10950,牙膏 露洁,0,1
10951,超电磁炮,0,1
10952,风暴针刺,0,1
10953,胡乱抓挠,0,1
10954,茶壶 灵愈,0,1
10955,羽毛球 拉丽,0,1
10956,时钟 晨曦,0,1
10957,临摹,0,1
10958,雷枪,0,1
10959,红汽水 浅浅,0,1
109510,纯净水 满满,0,1
109511,肥皂 滑滑,0,1
10960,牙膏 露洁,0,1
10961,超电磁炮,0,1
10962,海浪冲击,0,1
10963,铅笔 追忆,0,1
10964,鼠标 点点,0,1
10965,引力炸弹,0,1
10966,羽毛球 拉丽,0,1
10967,电池 欧姆,0,1
10968,萨克斯 莉莉,0,1
10969,风暴针刺,0,1
109610,爆裂药瓶,0,1
109611,电吉他 和鸣,0,1
10970,牙膏 露洁,1,0
10971,超电磁炮,1,0
10972,海浪冲击,1,0
10973,铅笔 追忆,1,0
10974,鼠标 点点,1,0
10975,引力炸弹,1,0
10976,羽毛球 拉丽,1,0
10977,电池 欧姆,1,0
10978,萨克斯 莉莉,1,0
10979,全力滋水,1,0
109710,爆裂药瓶,1,0
109711,电吉他 和鸣,1,0
10980,牙膏 露洁,0,1
10981,超电磁炮,0,1
10982,海浪冲击,0,1
10983,铅笔 追忆,0,1
10984,鼠标 点点,0,1
10985,引力炸弹,0,1
10986,羽毛球 拉丽,0,1
10987,电池 欧姆,0,1
10988,萨克斯 莉莉,0,1
10989,尖刺墙,0,1
109810,雨伞 守心,0,1
109811,电吉他 和鸣,0,1
10990,牙膏 露洁,0,1
10991,尖刺墙,0,1
10992,修建工事,0,1
10993,纯净水 浅浅,0,1
10994,红汽水 浅浅,0,1
10995,修建阵地,0,1
10996,海浪冲击,0,1
10997,超电磁炮,0,1
10998,羽毛球 拉丽,0,1
10999,风暴针刺,0,1
109910,绿汽水 满满,0,1
109911,巨兽陷阱,0,1
11000,牙膏 露洁,0,2
11001,海浪冲击,0,2
11002,茶壶 灵愈,0,2
11003,铅笔 追忆,0,2
11004,橡皮 忘怀,0,2
11005,鼠标 点点,0,2
11006,风暴针刺,0,2
11007,羽毛球 拉丽,0,2
11008,剪刀 刺痛,0,2
11009,胡乱抓挠,0,2
110010,电池 焦耳,0,2
110011,电池 欧姆,0,2
11012,风暴针刺,1,1
11013,铅笔 追忆,1,1
11014,鼠标 点点,1,1
11015,刀 百炼,1,1
11016,爆裂药瓶,1,1
11017,萨克斯 莉莉,1,1
11018,胡乱抓挠,1,1
11019,羽毛球 拉丽,1,1
110110,尖刺墙,1,1
110111,重新出发,1,1
11020,牙膏 露洁,1,0
11021,海浪冲击,1,0
11022,超电磁炮,1,0
11023,铅笔 追忆,1,0
11024,橡皮 忘怀,1,0
11025,鼠标 点点,1,0
11026,风暴针刺,1,0
11027,羽毛球 拉丽,1,0
11028,剪刀 刺痛,1,0
11029,胡乱抓挠,1,0
110210,电池 焦耳,1,0
110211,电池 欧姆,1,0
11030,书 幻梦,0,2
11031,铅笔 追忆,0,2
11032,纯净水 浅浅,0,2
11033,羽毛球 拉丽,0,2
11034,时钟 晨曦,0,2
11035,红汽水 浅浅,0,2
11036,鼠标 点点,0,2
11037,风暴针刺,0,2
11038,重新出发,0,2
11039,有丝分裂,0,2
110310,电池 欧姆,0,2
110311,电吉他 和鸣,0,2
11040,书 幻梦,1,0
11041,铅笔 追忆,1,0
11042,纯净水 浅浅,1,0
11043,羽毛球 拉丽,1,0
11044,时钟 晨曦,1,0
11045,红汽水 浅浅,1,0
11046,鼠标 点点,1,0
11047,风暴针刺,1,0
11048,重新出发,1,0
11049,滋水,1,0
110410,电池 欧姆,1,0
110411,电吉他 和鸣,1,0
11050,书 幻梦,2,0
11051,铅笔 追忆,2,0
11052,纯净水 浅浅,2,0
11053,羽毛球 拉丽,2,0
11054,时钟 晨曦,2,0
11055,红汽水 浅浅,2,0
11056,鼠标 点点,2,0
11057,超电磁炮,2,0
11058,重新出发,2,0
11059,有丝分裂,2,0
110510,电池 欧姆,2,0
110511,留声机 回音,2,0
11060,书 幻梦,2,2
11061,爆米花 米莉,2,2
11062,雨伞 守心,2,2
11063,茶壶 灵愈,2,2
11064,引力炸弹,2,2
11065,补水计划,2,2
11066,人工降雨,2,2
11067,超电磁炮,2,2
11068,海浪冲击,2,2
11069,巨雷枪,2,2
110610,牛奶 银河,2,2
110611,爆裂药瓶,2,2
11070,书 幻梦,0,1
11071,爆米花 米莉,0,1
11072,雨伞 守心,0,1
11073,引导,0,1
11074,爆裂药瓶,0,1
11075,刀 百炼,0,1
11076,时钟 晨曦,0,1
11077,风暴针刺,0,1
11078,鼠标 点点,0,1
11079,超电磁炮,0,1
110710,铅笔 追忆,0,1
110711,协力攻击,0,1
11080,书 幻梦,0,1
11081,爆米花 米莉,0,1
11082,煤油灯 流露,0,1
11083,有丝分裂,0,1
11084,重新出发,0,1
11085,蓄力,0,1
11086,电扇 彩虹,0,1
11087,羽毛球 拉丽,0,1
11088,牛奶 银河,0,1
11089,海浪冲击,0,1
110810,引力炸弹,0,1
110811,补水计划,0,1
11090,书 幻梦,1,0
11091,羽毛球 拉丽,1,0
11092,补水计划,1,0
11093,裂地斩,1,0
11094,魅惑,1,0
11095,见证我！,1,0
11096,精准引导,1,0
11097,引导,1,0
11098,引力炸弹,1,0
11099,临摹,1,0
110910,牛奶 银河,1,0
110911,修建工事,1,0
11100,书 幻梦,1,0
11101,羽毛球 拉丽,1,0
11102,补水计划,1,0
11103,裂地斩,1,0
11104,魅惑,1,0
11105,见证我！,1,0
11106,精准引导,1,0
11107,引导,1,0
11108,引力炸弹,1,0
11109,临摹,1,0
111010,牛奶 银河,1,0
111011,战术核武,1,0
11112,铅笔 追忆,0,1
11113,引力炸弹,0,1
11114,海浪冲击,0,1
11115,爆裂药瓶,0,1
11116,茶壶 灵愈,0,1
11117,羽毛球 拉丽,0,1
11118,引导,0,1
11119,见证我！,0,1
111110,电池 欧姆,0,1
111111,超电磁炮,0,1
11120,书 幻梦,0,1
11121,纯净水 满满,0,1
11122,协力攻击,0,1
11123,风暴针刺,0,1
11124,鼠标 点点,0,1
11125,铅笔 追忆,0,1
11126,超电磁炮,0,1
11127,投石支援,0,1
11128,胡乱抓挠,0,1
11129,绿汽水 满满,0,1
111210,魅惑,0,1
111211,羽毛球 拉丽,0,1
11130,书 幻梦,0,1
11131,盔甲 怀抱,0,1
11132,茶壶 灵愈,0,1
11133,胡乱抓挠,0,1
11134,有丝分裂,0,1
11135,雨伞 守心,0,1
11136,补水计划,0,1
11137,巨雷枪,0,1
11138,海浪冲击,0,1
11139,见证我！,0,1
111310,羽毛球 拉丽,0,1
111311,电池 伏特,0,1
11140,书 幻梦,0,1
11141,盔甲 怀抱,0,1
11142,牙膏 露洁,0,1
11143,电池 欧姆,0,1
11144,剪刀 刺痛,0,1
11145,尖刺墙,0,1
11146,爆裂药瓶,0,1
11147,风暴针刺,0,1
11148,胡乱抓挠,0,1
11149,雷枪,0,1
111410,混乱补给,0,1
111411,海浪冲击,0,1
11150,书 幻梦,0,1
11151,盔甲 怀抱,0,1
11152,牙膏 露洁,0,1
11153,刀 藏锋,0,1
11154,协力攻击,0,1
11155,尖刺墙,0,1
11156,爆裂药瓶,0,1
11157,风暴针刺,0,1
11158,胡乱抓挠,0,1
11159,超电磁炮,0,1
111510,混乱补给,0,1
111511,海浪冲击,0,1
11160,书 幻梦,0,1
11161,盔甲 怀抱,0,1
11162,人工降雨,0,1
11163,胡乱抓挠,0,1
11164,有丝分裂,0,1
11165,雨伞 守心,0,1
11166,补水计划,0,1
11167,巨雷枪,0,1
11168,海浪冲击,0,1
11169,见证我！,0,1
111610,羽毛球 拉丽,0,1
111611,电池 伏特,0,1
11170,书 幻梦,0,1
11171,盔甲 怀抱,0,1
11172,尖刺墙,0,1
11173,胡乱抓挠,0,1
11174,有丝分裂,0,1
11175,雨伞 守心,0,1
11176,补水计划,0,1
11177,巨雷枪,0,1
11178,海浪冲击,0,1
11179,剪刀 刺痛,0,1
111710,牛奶 银河,0,1
111711,电池 伏特,0,1
11180,书 幻梦,2,0
11181,盔甲 怀抱,2,0
11182,尖刺墙,2,0
11183,胡乱抓挠,2,0
11184,有丝分裂,2,0
11185,雨伞 守心,2,0
11186,补水计划,2,0
11187,巨雷枪,2,0
11188,海浪冲击,2,0
11189,见证我！,2,0
111810,羽毛球 拉丽,2,0
111811,电池 伏特,2,0
11190,书 幻梦,0,1
11191,魅惑,0,1
11192,电池 欧姆,0,1
11193,爆裂药瓶,0,1
11194,胡乱抓挠,0,1
11195,萨克斯 莉莉,0,1
11196,煤油灯 流露,0,1
11197,羽毛球 拉丽,0,1
11198,弹簧安装,0,1
11199,剪刀 刺痛,0,1
111910,变大！,0,1
111911,超电磁炮,0,1
11200,书 幻梦,0,1
11201,魅惑,0,1
11202,电池 欧姆,0,1
11203,爆裂药瓶,0,1
11204,胡乱抓挠,0,1
11205,萨克斯 莉莉,0,1
11206,煤油灯 流露,0,1
11207,羽毛球 拉丽,0,1
11208,弹簧安装,0,1
11209,剪刀 刺痛,0,1
112010,风暴针刺,0,1
112011,超电磁炮,0,1
11212,电池 欧姆,0,1
11213,爆裂药瓶,0,1
11214,胡乱抓挠,0,1
11215,萨克斯 莉莉,0,1
11216,铅笔 追忆,0,1
11217,羽毛球 拉丽,0,1
11218,电吉他 和鸣,0,1
11219,鼠标 点点,0,1
112110,风暴针刺,0,1
112111,牙膏 露洁,0,1
11220,书 幻梦,0,1
11221,弹射锯片,0,1
11222,电池 欧姆,0,1
11223,爆裂药瓶,0,1
11224,胡乱抓挠,0,1
11225,萨克斯 莉莉,0,1
11226,铅笔 追忆,0,1
11227,羽毛球 拉丽,0,1
11228,电吉他 和鸣,0,1
11229,鼠标 点点,0,1
112210,风暴针刺,0,1
112211,协力攻击,0,1
11230,书 幻梦,1,0
11231,弹射锯片,1,0
11232,电池 欧姆,1,0
11233,爆裂药瓶,1,0
11234,胡乱抓挠,1,0
11235,萨克斯 莉莉,1,0
11236,铅笔 追忆,1,0
11237,羽毛球 拉丽,1,0
11238,姨妈巾 玫瑰,1,0
11239,鼠标 点点,1,0
112310,风暴针刺,1,0
112311,协力攻击,1,0
11240,书 幻梦,1,0
11241,弹射锯片,1,0
11242,电池 欧姆,1,0
11243,爆裂药瓶,1,0
11244,胡乱抓挠,1,0
11245,萨克斯 莉莉,1,0
11246,裂地斩,1,0
11247,羽毛球 拉丽,1,0
11248,姨妈巾 玫瑰,1,0
11249,剪刀 刺痛,1,0
112410,风暴针刺,1,0
112411,超电磁炮,1,0
11250,书 幻梦,0,2
11251,见证我！,0,2
11252,补水计划,0,2
11253,羽毛球 拉丽,0,2
11254,风暴针刺,0,2
11255,鼠标 点点,0,2
11256,海浪冲击,0,2
11257,巨雷枪,0,2
11258,铅笔 追忆,0,2
11259,电池 焦耳,0,2
112510,茶壶 灵愈,0,2
112511,爆裂药瓶,0,2
11260,书 幻梦,0,1
11261,嗜血杀戮,0,1
11262,补水计划,0,1
11263,裂地斩,0,1
11264,魅惑,0,1
11265,见证我！,0,1
11266,精准引导,0,1
11267,引导,0,1
11268,引力炸弹,0,1
11269,临摹,0,1
112610,牛奶 银河,0,1
112611,战术核武,0,1
11270,书 幻梦,2,2
11271,巨雷枪,2,2
11272,补水计划,2,2
11273,巨兽陷阱,2,2
11274,魅惑,2,2
11275,引力炸弹,2,2
11276,精准引导,2,2
11277,羽毛球 拉丽,2,2
11278,电扇 彩虹,2,2
11279,嗜血杀戮,2,2
112710,变大！,2,2
112711,重新出发,2,2
11280,书 幻梦,0,2
11281,巨雷枪,0,2
11282,补水计划,0,2
11283,巨兽陷阱,0,2
11284,魅惑,0,2
11285,引力炸弹,0,2
11286,精准引导,0,2
11287,羽毛球 拉丽,0,2
11288,有丝分裂,0,2
11289,引导,0,2
112810,盔甲 怀抱,0,2
112811,重新出发,0,2
11290,书 幻梦,0,2
11291,海浪冲击,0,2
11292,裂地斩,0,2
11293,巨雷枪,0,2
11294,风暴针刺,0,2
11295,电吉他 和鸣,0,2
11296,见证我！,0,2
11297,补水计划,0,2
11298,有丝分裂,0,2
11299,引力炸弹,0,2
112910,羽毛球 拉丽,0,2
112911,战术核武,0,2
11300,电池 伏特,0,1
11301,电吉他 和鸣,0,1
11302,临摹,0,1
11303,羽毛球 拉丽,0,1
11304,刀 百炼,0,1
11305,盔甲 怀抱,0,1
11306,电池 焦耳,0,1
11307,爆裂药瓶,0,1
11308,剪刀 刺痛,0,1
11309,鼠标 点点,0,1
113010,牛奶 银河,0,1
113011,刀 藏锋,0,1
11312,纯净水 满满,1,1
11313,巨雷枪,1,1
11314,羽毛球 拉丽,1,1
11315,时钟 晨曦,1,1
11316,超电磁炮,1,1
11317,胡乱抓挠,1,1
11318,电池 焦耳,1,1
11319,鼠标 点点,1,1
113110,肥皂 滑滑,1,1
113111,萨克斯 莉莉,1,1
11320,电池 伏特,1,0
11321,茶壶 灵愈,1,0
11322,留声机 回音,1,0
11323,裂地斩,1,0
11324,爆米花 米莉,1,0
11325,引力炸弹,1,0
11326,海浪冲击,1,0
11327,胡乱抓挠,1,0
11328,电池 欧姆,1,0
11329,电吉他 和鸣,1,0
113210,羽毛球 拉丽,1,0
113211,补水计划,1,0
11330,电池 伏特,1,0
11331,茶壶 灵愈,1,0
11332,修建工事,1,0
11333,裂地斩,1,0
11334,爆米花 米莉,1,0
11335,引力炸弹,1,0
11336,电扇 彩虹,1,0
11337,胡乱抓挠,1,0
11338,电池 欧姆,1,0
11339,电吉他 和鸣,1,0
113310,鼠标 点点,1,0
113311,牙膏 露洁,1,0
11340,电池 伏特,0,1
11341,留声机 回音,0,1
11342,补水计划,0,1
11343,风暴针刺,0,1
11344,电池 焦耳,0,1
11345,引力炸弹,0,1
11346,剪刀 刺痛,0,1
11347,羽毛球 拉丽,0,1
11348,姨妈巾 玫瑰,0,1
11349,电池 欧姆,0,1
113410,纸巾 缠缠,0,1
113411,橡皮 忘怀,0,1
11350,电池 伏特,2,2
11351,电池 欧姆,2,2
11352,见证我！,2,2
11353,羽毛球 拉丽,2,2
11354,纯净水 浅浅,2,2
11355,时钟 晨曦,2,2
11356,重新出发,2,2
11357,修建阵地,2,2
11358,补水计划,2,2
11359,飞砖,2,2
113510,风暴针刺,2,2
113511,滋水,2,2
11360,电池 伏特,2,1
11361,电池 欧姆,2,1
11362,见证我！,2,1
11363,羽毛球 拉丽,2,1
11364,纯净水 浅浅,2,1
11365,蓄力,2,1
11366,滋水,2,1
11367,红汽水 浅浅,2,1
11368,雨伞 守心,2,1
11369,飞砖,2,1
113610,风暴针刺,2,1
113611,尖刺墙,2,1
11370,电池 伏特,0,1
11371,电池 欧姆,0,1
11372,见证我！,0,1
11373,羽毛球 拉丽,0,1
11374,纯净水 浅浅,0,1
11375,蓄力,0,1
11376,重新出发,0,1
11377,红汽水 浅浅,0,1
11378,滋水,0,1
11379,飞砖,0,1
113710,风暴针刺,0,1
113711,尖刺墙,0,1
11380,电池 伏特,1,2
11381,电池 欧姆,1,2
11382,见证我！,1,2
11383,羽毛球 拉丽,1,2
11384,纯净水 浅浅,1,2
11385,滋水,1,2
11386,重新出发,1,2
11387,雨伞 守心,1,2
11388,补水计划,1,2
11389,飞砖,1,2
113810,风暴针刺,1,2
113811,尖刺墙,1,2
11390,电池 伏特,0,1
11391,电池 焦耳,0,1
11392,摩托 赤狸,0,1
11393,电池 欧姆,0,1
11394,茶壶 灵愈,0,1
11395,精准引导,0,1
11396,引力炸弹,0,1
11397,引导,0,1
11398,爆米花 米莉,0,1
11399,雨伞 守心,0,1
113910,嗜血杀戮,0,1
113911,变大！,0,1
11400,电池 伏特,1,0
11401,电池 焦耳,1,0
11402,摩托 赤狸,1,0
11403,电池 欧姆,1,0
11404,茶壶 灵愈,1,0
11405,精准引导,1,0
11406,引力炸弹,1,0
11407,引导,1,0
11408,爆米花 米莉,1,0
11409,雨伞 守心,1,0
114010,嗜血杀戮,1,0
114011,裂地斩,1,0
11412,摩托 赤狸,0,1
11413,电池 欧姆,0,1
11414,牛奶 银河,0,1
11415,精准引导,0,1
11416,引力炸弹,0,1
11417,引导,0,1
11418,爆米花 米莉,0,1
11419,盔甲 怀抱,0,1
114110,嗜血杀戮,0,1
114111,裂地斩,0,1
11420,电池 伏特,2,1
11421,电池 焦耳,2,1
11422,牙膏 露洁,2,1
11423,牛奶 银河,2,1
11424,盔甲 怀抱,2,1
11425,巨雷枪,2,1
11426,有丝分裂,2,1
11427,海浪冲击,2,1
11428,超电磁炮,2,1
11429,留声机 回音,2,1
114210,茶壶 灵愈,2,1
114211,雨伞 守心,2,1
11430,电池 伏特,0,1
11431,橡皮 忘怀,0,1
11432,电池 欧姆,0,1
11433,羽毛球 拉丽,0,1
11434,注射器 针妮,0,1
11435,海浪冲击,0,1
11436,鼠标 点点,0,1
11437,蜡烛 热泪,0,1
11438,魅惑,0,1
11439,超电磁炮,0,1
114310,巨兽陷阱,0,1
