cards,battlenum,winnum,losenum
"[""10019"",""20018"",""20027"",""20043"",""10012"",""20028"",""10027"",""10017"",""20016"",""10015"",""10024"",""10026""]",2,1,1
"[""10019"",""20026"",""10018"",""10024"",""10015"",""20047"",""10025"",""10017"",""10028"",""20016"",""10035"",""10037""]",1,0,1
"[""10019"",""20026"",""20048"",""20044"",""20034"",""10034"",""20046"",""10044"",""20047"",""10025"",""10017"",""10028""]",1,0,1
"[""10019"",""20026"",""20048"",""20044"",""20034"",""20047"",""20046"",""20037"",""20014"",""10025"",""10017"",""10028""]",1,1,0
"[""10019"",""20034"",""10024"",""10018"",""10031"",""10020"",""10029"",""20048"",""20050"",""20036"",""20037"",""20042""]",1,0,1
"[""10019"",""20036"",""20044"",""10017"",""10025"",""10031"",""10027"",""20050"",""20047"",""20027"",""20014"",""20034""]",1,0,1
"[""10019"",""20037"",""20026"",""10023"",""20043"",""20044"",""20048"",""20028"",""10028"",""20049"",""10030"",""20050""]",1,0,1
"[""10019"",""20043"",""10027"",""10013"",""10030"",""20036"",""10021"",""20026"",""20044"",""20048"",""10028"",""20050""]",3,1,2
"[""10019"",""20046"",""10024"",""10015"",""20048"",""10020"",""20036"",""20043"",""20038"",""20026"",""10028"",""20051""]",1,0,1
"[""10019"",""20046"",""10024"",""20044"",""20048"",""10020"",""20036"",""20043"",""20038"",""20026"",""10028"",""10017""]",1,1,0
"[""10019"",""20048"",""20050"",""10046"",""10021"",""10027"",""10030"",""20042"",""20044"",""10029"",""10037"",""10017""]",1,0,1
"[""10019"",""20048"",""20050"",""20011"",""20017"",""10027"",""10030"",""20042"",""20044"",""10029"",""10037"",""10017""]",1,0,1
"[""10019"",""20050"",""20048"",""10021"",""10041"",""10043"",""20016"",""10030"",""20044"",""10038"",""10013"",""20026""]",1,1,0
"[""10019"",""20050"",""20048"",""10021"",""20036"",""10010"",""10034"",""10030"",""20044"",""10038"",""10018"",""20026""]",6,4,2
"[""10019"",""20050"",""20048"",""10021"",""20036"",""10043"",""10034"",""10030"",""20044"",""10038"",""10013"",""20026""]",9,8,1
"[""10019"",""20050"",""20048"",""10021"",""20036"",""20034"",""10034"",""10030"",""20044"",""10038"",""10018"",""20026""]",2,1,1
"[""10020"",""10010"",""10026"",""20046"",""20034"",""10035"",""20026"",""20014"",""20024"",""10014"",""20015"",""20050""]",1,0,1
"[""10020"",""10021"",""10019"",""20026"",""20034"",""20044"",""10025"",""10028"",""20047"",""10017"",""20036"",""20043""]",4,1,3
"[""10020"",""10025"",""10019"",""20026"",""10028"",""20048"",""20035"",""10026"",""20049"",""10017"",""20043"",""20016""]",1,0,1
"[""10020"",""10025"",""10028"",""20050"",""20036"",""20012"",""20026"",""20034"",""10021"",""20014"",""20046"",""10034""]",5,2,3
"[""10020"",""10025"",""10028"",""20050"",""20036"",""20044"",""20026"",""20034"",""10021"",""20014"",""20016"",""10034""]",4,2,2
"[""10020"",""10025"",""10028"",""20050"",""20036"",""20044"",""20026"",""20034"",""10021"",""20014"",""20043"",""10034""]",5,2,3
"[""10020"",""10025"",""10028"",""20050"",""20048"",""20044"",""20026"",""20034"",""10021"",""10030"",""20016"",""10034""]",4,0,4
"[""10020"",""10028"",""10025"",""10030"",""20037"",""10032"",""20013"",""20048"",""20044"",""10010"",""20019"",""20050""]",1,1,0
"[""10020"",""10028"",""10025"",""10030"",""20037"",""10032"",""20013"",""20048"",""20044"",""10010"",""20041"",""20050""]",1,0,1
"[""10020"",""10028"",""10025"",""10030"",""20037"",""10032"",""20016"",""20048"",""20044"",""10010"",""20049"",""20050""]",1,1,0
"[""10020"",""10028"",""20032"",""10030"",""20030"",""20026"",""10035"",""10037"",""20050"",""10041"",""10021"",""20042""]",1,0,1
"[""10020"",""10030"",""20043"",""10042"",""10044"",""10043"",""20016"",""20026"",""20044"",""20048"",""10033"",""20050""]",1,0,1
"[""10020"",""10035"",""10037"",""10032"",""10026"",""10045"",""20042"",""20050"",""20048"",""20011"",""10046"",""20045""]",1,0,1
"[""10020"",""10035"",""10037"",""10032"",""10026"",""20042"",""10028"",""10012"",""10017"",""20040"",""10046"",""20045""]",1,0,1
"[""10020"",""10037"",""10026"",""20046"",""10012"",""20022"",""20016"",""20020"",""20044"",""20027"",""20047"",""20050""]",2,1,1
"[""10020"",""10037"",""10026"",""20046"",""20034"",""20022"",""20016"",""20020"",""20026"",""20027"",""20047"",""20050""]",2,2,0
"[""10020"",""10037"",""10026"",""20046"",""20034"",""20022"",""20026"",""10011"",""20024"",""20045"",""20015"",""20050""]",2,0,2
"[""10020"",""10037"",""10026"",""20046"",""20034"",""20022"",""20026"",""20042"",""20024"",""20047"",""20015"",""20050""]",2,1,1
"[""10020"",""10045"",""10019"",""20026"",""10024"",""20027"",""10025"",""10028"",""20047"",""10017"",""20036"",""20043""]",1,0,1
"[""10020"",""10045"",""10019"",""20026"",""10024"",""20033"",""10025"",""10028"",""20047"",""10017"",""20036"",""20043""]",1,1,0
"[""10020"",""10045"",""10019"",""20026"",""10024"",""20044"",""10025"",""10028"",""20047"",""10017"",""20036"",""20043""]",1,0,1
"[""10020"",""20011"",""20043"",""10042"",""20042"",""10043"",""20016"",""20026"",""10021"",""20048"",""10030"",""20050""]",1,0,1
"[""10021"",""10010"",""10037"",""10014"",""10041"",""10030"",""20016"",""20026"",""20049"",""20048"",""20050"",""10019""]",1,0,1
"[""10021"",""10010"",""10037"",""10014"",""10041"",""10030"",""20016"",""20026"",""20049"",""20048"",""20050"",""10045""]",1,0,1
"[""10021"",""10010"",""10037"",""10042"",""10041"",""10044"",""20016"",""20026"",""20049"",""20048"",""20050"",""10045""]",4,1,3
"[""10021"",""10010"",""10037"",""10042"",""10041"",""10044"",""20016"",""20026"",""20049"",""20048"",""20050"",""20042""]",1,0,1
"[""10021"",""10012"",""10025"",""10028"",""10038"",""20026"",""20044"",""20048"",""20030"",""10042"",""10043"",""10030""]",1,1,0
"[""10021"",""10012"",""10025"",""10028"",""10038"",""20037"",""20044"",""20048"",""20026"",""20043"",""10043"",""10030""]",2,1,1
"[""10021"",""10013"",""10025"",""10028"",""10034"",""20037"",""20044"",""20048"",""20026"",""20043"",""10043"",""10030""]",2,0,2
"[""10021"",""10013"",""10025"",""10028"",""10038"",""20037"",""20044"",""20048"",""20026"",""20043"",""10043"",""10030""]",1,0,1
"[""10021"",""10014"",""10028"",""10017"",""20026"",""10030"",""10018"",""10015"",""20010"",""20048"",""20044"",""10024""]",3,3,0
"[""10021"",""10014"",""10028"",""10017"",""20026"",""10030"",""10018"",""10015"",""20010"",""20048"",""20044"",""20034""]",1,0,1
"[""10021"",""10014"",""10028"",""10017"",""20036"",""10030"",""10018"",""10015"",""20010"",""20048"",""20034"",""10013""]",2,1,1
"[""10021"",""10014"",""10030"",""10025"",""20011"",""20016"",""20043"",""20051"",""10010"",""20037"",""10031"",""10028""]",1,0,1
"[""10021"",""10014"",""10030"",""10033"",""10042"",""10043"",""20011"",""20016"",""10028"",""10037"",""20044"",""20040""]",2,0,2
"[""10021"",""10016"",""20044"",""20048"",""10014"",""10043"",""10032"",""10036"",""20016"",""10039"",""10040"",""20043""]",1,0,1
"[""10021"",""10019"",""10018"",""20016"",""20050"",""10034"",""10028"",""10035"",""10037"",""10036"",""10044"",""20046""]",1,1,0
"[""10021"",""10019"",""10018"",""20016"",""20050"",""10034"",""10028"",""10035"",""10037"",""20043"",""10030"",""20046""]",2,1,1
"[""10021"",""10019"",""20026"",""10016"",""10014"",""10028"",""10017"",""10041"",""20044"",""20048"",""10030"",""10042""]",3,1,2
"[""10021"",""10019"",""20026"",""10016"",""10014"",""10028"",""10017"",""10042"",""20044"",""20048"",""10030"",""10012""]",4,2,2
"[""10021"",""10019"",""20026"",""10016"",""10014"",""10028"",""10017"",""20049"",""20044"",""20048"",""10030"",""10012""]",1,0,1
"[""10021"",""10020"",""20016"",""10013"",""20014"",""10025"",""10041"",""20050"",""10037"",""10017"",""10035"",""10028""]",1,0,1
"[""10021"",""10022"",""10025"",""10030"",""20016"",""20026"",""20046"",""10010"",""10019"",""10028"",""10031"",""20044""]",1,0,1
"[""10021"",""10023"",""10038"",""20048"",""10013"",""10017"",""20016"",""10018"",""20050"",""20043"",""10010"",""10028""]",1,1,0
"[""10021"",""10023"",""10038"",""20048"",""10013"",""10017"",""20016"",""20013"",""20050"",""20043"",""10010"",""10028""]",1,0,1
"[""10021"",""10023"",""10038"",""20048"",""10013"",""10019"",""20016"",""10018"",""20050"",""20043"",""10010"",""10028""]",1,1,0
"[""10021"",""10023"",""10045"",""20048"",""10013"",""10017"",""20016"",""10030"",""20050"",""20043"",""10010"",""10028""]",1,0,1
"[""10021"",""10023"",""20015"",""20048"",""10013"",""10043"",""20016"",""10030"",""20050"",""20043"",""10010"",""10028""]",1,0,1
"[""10021"",""10023"",""20022"",""20031"",""20043"",""20038"",""10037"",""20046"",""20024"",""20047"",""20034"",""20026""]",1,1,0
"[""10021"",""10023"",""20033"",""20048"",""10041"",""10043"",""20016"",""10030"",""20050"",""20043"",""10032"",""20047""]",2,1,1
"[""10021"",""10023"",""20049"",""10030"",""20050"",""20048"",""20044"",""10043"",""10042"",""10034"",""10028"",""10031""]",1,0,1
"[""10021"",""10025"",""10030"",""10016"",""20014"",""10023"",""20016"",""20026"",""10028"",""20036"",""10017"",""20015""]",1,0,1
"[""10021"",""10025"",""10030"",""10042"",""20011"",""10043"",""20016"",""20026"",""10046"",""20048"",""20042"",""20050""]",1,0,1
"[""10021"",""10025"",""10030"",""10042"",""20036"",""20024"",""20016"",""20026"",""10046"",""20048"",""20042"",""20050""]",1,0,1
"[""10021"",""10025"",""10043"",""10020"",""10030"",""10022"",""10023"",""20042"",""20048"",""20050"",""10042"",""20026""]",1,0,1
"[""10021"",""10025"",""10043"",""10020"",""10030"",""10028"",""10023"",""20042"",""20048"",""20050"",""10042"",""20026""]",1,1,0
"[""10021"",""10025"",""20042"",""10015"",""10013"",""20048"",""20050"",""10020"",""10014"",""10030"",""10046"",""20036""]",2,2,0
"[""10021"",""10026"",""10013"",""10014"",""10028"",""20034"",""20050"",""20044"",""20024"",""20014"",""20039"",""20036""]",2,1,1
"[""10021"",""10026"",""10013"",""10014"",""10028"",""20034"",""20050"",""20044"",""20024"",""20037"",""20039"",""20046""]",1,0,1
"[""10021"",""10027"",""10022"",""10017"",""20043"",""10028"",""10031"",""10045"",""20048"",""10030"",""10034"",""20044""]",2,1,1
"[""10021"",""10028"",""10017"",""20036"",""10030"",""10042"",""20026"",""10020"",""10029"",""20011"",""20016"",""10010""]",2,1,1
"[""10021"",""10028"",""10025"",""20044"",""10030"",""10042"",""10043"",""20042"",""20043"",""20050"",""20016"",""20049""]",1,0,1
"[""10021"",""10028"",""10027"",""10030"",""10012"",""10035"",""10013"",""10010"",""10037"",""20016"",""10026"",""20018""]",1,1,0
"[""10021"",""10028"",""20012"",""10025"",""20042"",""20026"",""20050"",""10030"",""10034"",""20011"",""20049"",""20041""]",1,0,1
"[""10021"",""10028"",""20026"",""20044"",""10030"",""10042"",""20038"",""10010"",""20050"",""20048"",""20049"",""10011""]",1,0,1
"[""10021"",""10030"",""10017"",""10028"",""10014"",""20043"",""10024"",""20044"",""20016"",""20026"",""10035"",""10013""]",3,2,1
"[""10021"",""10030"",""10017"",""10028"",""10014"",""20043"",""10024"",""20044"",""20016"",""20026"",""10035"",""10037""]",2,1,1
"[""10021"",""10030"",""10017"",""10028"",""10014"",""20043"",""10024"",""20044"",""20016"",""20026"",""20034"",""10013""]",3,1,2
"[""10021"",""10030"",""10017"",""10028"",""20040"",""20043"",""10024"",""20044"",""20016"",""20026"",""10035"",""10037""]",2,2,0
"[""10021"",""10030"",""10018"",""20048"",""10028"",""20044"",""10014"",""10013"",""10010"",""10035"",""20031"",""20017""]",1,1,0
"[""10021"",""10030"",""10018"",""20048"",""10028"",""20044"",""10014"",""10013"",""10010"",""10035"",""20031"",""20033""]",2,2,0
"[""10021"",""10030"",""10018"",""20048"",""10028"",""20044"",""10037"",""10013"",""10010"",""10025"",""20034"",""10019""]",1,0,1
"[""10021"",""10030"",""10018"",""20048"",""10028"",""20044"",""10037"",""10013"",""10010"",""10035"",""20034"",""10019""]",1,1,0
"[""10021"",""10030"",""10018"",""20048"",""10028"",""20044"",""10037"",""10013"",""10010"",""10035"",""20034"",""20026""]",3,2,1
"[""10021"",""10030"",""10018"",""20048"",""10028"",""20044"",""20026"",""10013"",""10010"",""10031"",""20034"",""10019""]",4,4,0
"[""10021"",""10030"",""10018"",""20048"",""10028"",""20044"",""20043"",""10013"",""10010"",""10035"",""20031"",""20017""]",1,1,0
"[""10021"",""10030"",""10019"",""10042"",""10023"",""10043"",""20016"",""20026"",""20044"",""20048"",""20042"",""20050""]",1,0,1
"[""10021"",""10030"",""10019"",""10043"",""10042"",""20026"",""20016"",""20050"",""10028"",""10025"",""10031"",""10014""]",2,2,0
"[""10021"",""10030"",""10019"",""10043"",""10042"",""20048"",""20016"",""20050"",""10028"",""10025"",""10031"",""10014""]",1,0,1
"[""10021"",""10030"",""10019"",""20026"",""20048"",""20044"",""10028"",""10017"",""10010"",""10037"",""10035"",""20031""]",4,1,3
"[""10021"",""10030"",""10019"",""20026"",""20049"",""10018"",""20048"",""20044"",""20043"",""20047"",""20025"",""10026""]",2,1,1
"[""10021"",""10030"",""10019"",""20043"",""10043"",""20048"",""20016"",""20050"",""10028"",""10025"",""10031"",""10014""]",4,2,2
"[""10021"",""10030"",""10019"",""20050"",""10028"",""20046"",""10041"",""10012"",""10016"",""20026"",""20048"",""10042""]",1,0,1
"[""10021"",""10030"",""10019"",""20050"",""10028"",""20046"",""20051"",""20025"",""10016"",""10025"",""20048"",""20049""]",1,0,1
"[""10021"",""10030"",""10023"",""10019"",""10034"",""10028"",""10012"",""10017"",""10015"",""20026"",""10018"",""10014""]",1,1,0
"[""10021"",""10030"",""10023"",""10019"",""10034"",""10028"",""10012"",""10017"",""20010"",""20026"",""20043"",""10014""]",1,1,0
"[""10021"",""10030"",""10023"",""10019"",""10034"",""10028"",""10012"",""10017"",""20047"",""20026"",""10018"",""10014""]",1,1,0
"[""10021"",""10030"",""10023"",""10019"",""10034"",""10028"",""10012"",""10017"",""20047"",""20026"",""20014"",""10014""]",1,0,1
"[""10021"",""10030"",""10023"",""10019"",""10034"",""10028"",""10012"",""10017"",""20047"",""20026"",""20024"",""10014""]",1,0,1
"[""10021"",""10030"",""10023"",""20036"",""20042"",""20026"",""20043"",""10028"",""10042"",""20050"",""10010"",""10014""]",1,0,1
"[""10021"",""10030"",""10023"",""20036"",""20042"",""20026"",""20043"",""10028"",""10042"",""20050"",""10024"",""10014""]",1,0,1
"[""10021"",""10030"",""10023"",""20050"",""20044"",""20048"",""20016"",""10028"",""10010"",""20046"",""10013"",""20026""]",16,14,2
"[""10021"",""10030"",""10024"",""10018"",""20044"",""10017"",""10028"",""20046"",""10010"",""10035"",""10019"",""10037""]",2,2,0
"[""10021"",""10030"",""10028"",""10010"",""20046"",""10031"",""10017"",""10024"",""10018"",""10026"",""10015"",""10016""]",3,1,2
"[""10021"",""10030"",""10040"",""10034"",""10016"",""10017"",""20026"",""20044"",""20048"",""20050"",""20037"",""10028""]",3,1,2
"[""10021"",""10030"",""10042"",""10034"",""10043"",""10017"",""20026"",""20044"",""20048"",""20050"",""20037"",""10028""]",1,0,1
"[""10021"",""10030"",""10042"",""10034"",""10043"",""20042"",""20026"",""20044"",""20048"",""20028"",""20037"",""10018""]",1,0,1
"[""10021"",""10030"",""10042"",""10034"",""10043"",""20042"",""20026"",""20044"",""20048"",""20028"",""20037"",""10028""]",1,0,1
"[""10021"",""10030"",""10042"",""10043"",""20016"",""20043"",""10010"",""10028"",""10026"",""10029"",""20051"",""10017""]",1,1,0
"[""10021"",""10030"",""10042"",""10043"",""20048"",""20044"",""20026"",""10038"",""10017"",""10028"",""10012"",""20011""]",1,0,1
"[""10021"",""10030"",""10043"",""10019"",""10018"",""10025"",""10028"",""10010"",""10026"",""10041"",""20047"",""20023""]",1,1,0
"[""10021"",""10030"",""10043"",""10042"",""20042"",""20026"",""10028"",""20011"",""20044"",""20045"",""10039"",""10032""]",1,1,0
"[""10021"",""10030"",""20016"",""20050"",""20043"",""10016"",""10028"",""10041"",""10031"",""10042"",""10043"",""10022""]",1,0,1
"[""10021"",""10030"",""20026"",""10028"",""10014"",""10037"",""10010"",""10026"",""10025"",""20044"",""20042"",""20024""]",1,0,1
"[""10021"",""10030"",""20030"",""20044"",""20043"",""20048"",""10034"",""10028"",""20024"",""20049"",""10014"",""10035""]",1,0,1
"[""10021"",""10030"",""20033"",""20050"",""20026"",""10042"",""10018"",""20048"",""10028"",""20038"",""10010"",""20031""]",1,0,1
"[""10021"",""10030"",""20041"",""20048"",""20044"",""20043"",""10034"",""10028"",""10022"",""10026"",""20049"",""20050""]",1,0,1
"[""10021"",""10030"",""20042"",""10013"",""10010"",""10028"",""20043"",""20044"",""20050"",""20049"",""10035"",""20031""]",1,1,0
"[""10021"",""10030"",""20042"",""10043"",""10014"",""10042"",""20050"",""20016"",""20043"",""10028"",""10013"",""10035""]",1,0,1
"[""10021"",""10030"",""20042"",""10043"",""10040"",""10042"",""20050"",""20016"",""20043"",""10028"",""10013"",""10035""]",1,1,0
"[""10021"",""10030"",""20042"",""10043"",""20026"",""10042"",""20050"",""20016"",""20043"",""10028"",""10013"",""10035""]",2,1,1
"[""10021"",""10030"",""20042"",""20026"",""20013"",""20050"",""20043"",""10015"",""20044"",""10031"",""10028"",""10017""]",1,0,1
"[""10021"",""10030"",""20042"",""20050"",""20016"",""20043"",""10028"",""10035"",""10017"",""10014"",""10010"",""20044""]",1,1,0
"[""10021"",""10030"",""20042"",""20050"",""20048"",""20044"",""10018"",""10031"",""10028"",""20028"",""20043"",""10014""]",1,1,0
"[""10021"",""10030"",""20044"",""10018"",""10014"",""10017"",""10028"",""20046"",""10010"",""10035"",""10019"",""10013""]",1,1,0
"[""10021"",""10030"",""20044"",""10018"",""20043"",""10017"",""10028"",""20046"",""10010"",""20036"",""10019"",""10013""]",3,2,1
"[""10021"",""10030"",""20044"",""20048"",""10014"",""10043"",""10032"",""10025"",""20016"",""10024"",""10040"",""20043""]",1,0,1
"[""10021"",""10030"",""20048"",""10013"",""10017"",""20014"",""10024"",""20050"",""20043"",""10010"",""10028"",""10018""]",1,0,1
"[""10021"",""10030"",""20048"",""10013"",""10017"",""20026"",""10024"",""20050"",""20043"",""10010"",""10028"",""10018""]",1,0,1
"[""10021"",""10030"",""20048"",""10013"",""10017"",""20026"",""10024"",""20050"",""20044"",""10010"",""10028"",""10018""]",1,1,0
"[""10021"",""10030"",""20048"",""10013"",""10017"",""20047"",""10024"",""20050"",""20043"",""10010"",""10028"",""10018""]",1,0,1
"[""10021"",""10030"",""20048"",""20034"",""10017"",""20026"",""10023"",""20050"",""10045"",""20014"",""10028"",""20020""]",3,1,2
"[""10021"",""10030"",""20048"",""20034"",""10017"",""20026"",""10024"",""20050"",""20044"",""10010"",""10028"",""10018""]",2,1,1
"[""10021"",""10030"",""20048"",""20034"",""10017"",""20026"",""20010"",""20050"",""10045"",""20043"",""10028"",""10018""]",1,0,1
"[""10021"",""10030"",""20048"",""20044"",""10028"",""10025"",""10017"",""10016"",""10020"",""20016"",""10013"",""20014""]",2,1,1
"[""10021"",""10030"",""20048"",""20044"",""10028"",""10025"",""10017"",""10016"",""10020"",""20016"",""10013"",""20034""]",1,1,0
"[""10021"",""10030"",""20048"",""20050"",""10019"",""10031"",""10028"",""10012"",""10038"",""10011"",""10016"",""20017""]",3,0,3
"[""10021"",""10030"",""20048"",""20050"",""20016"",""20043"",""10028"",""20023"",""10011"",""10014"",""10010"",""20014""]",4,0,4
"[""10021"",""10030"",""20048"",""20050"",""20016"",""20043"",""10028"",""20023"",""10011"",""10014"",""10010"",""20044""]",2,1,1
"[""10021"",""10030"",""20048"",""20050"",""20016"",""20043"",""10028"",""20034"",""10013"",""10014"",""10010"",""20014""]",1,0,1
"[""10021"",""10030"",""20050"",""20044"",""20043"",""20048"",""10034"",""10028"",""20024"",""20049"",""10014"",""10035""]",1,1,0
"[""10021"",""10030"",""20050"",""20048"",""20026"",""10028"",""10010"",""20044"",""20017"",""20016"",""10035"",""10037""]",1,0,1
"[""10021"",""10030"",""20050"",""20048"",""20026"",""10028"",""10010"",""20044"",""20049"",""20016"",""10035"",""10037""]",1,0,1
"[""10021"",""10035"",""10037"",""10042"",""10018"",""10043"",""10010"",""10030"",""20044"",""20043"",""10026"",""20026""]",1,0,1
"[""10021"",""10035"",""10037"",""10042"",""10041"",""10044"",""20016"",""20026"",""20049"",""20048"",""20050"",""20042""]",2,0,2
"[""10021"",""10035"",""10037"",""10046"",""20050"",""20037"",""20016"",""10030"",""10014"",""10045"",""20045"",""10010""]",2,0,2
"[""10021"",""10040"",""10015"",""20050"",""20016"",""10038"",""10028"",""10017"",""20043"",""10014"",""10036"",""10019""]",1,1,0
"[""10021"",""10040"",""10015"",""20050"",""20016"",""10038"",""10028"",""10017"",""20043"",""10014"",""10036"",""10030""]",1,0,1
"[""10021"",""10041"",""10026"",""20048"",""20050"",""10023"",""10030"",""20026"",""10015"",""10028"",""10031"",""10037""]",1,1,0
"[""10021"",""10041"",""20049"",""10012"",""10020"",""20044"",""20048"",""10042"",""10043"",""10030"",""10045"",""20035""]",1,0,1
"[""10021"",""10043"",""10018"",""10015"",""20043"",""20044"",""10028"",""10013"",""10010"",""10020"",""10025"",""20048""]",3,2,1
"[""10021"",""10043"",""10028"",""10035"",""10037"",""10026"",""10030"",""10032"",""10041"",""10017"",""20050"",""10016""]",1,0,1
"[""10021"",""20011"",""10030"",""10042"",""10044"",""10043"",""20016"",""20026"",""20043"",""20048"",""10020"",""20050""]",1,0,1
"[""10021"",""20011"",""20018"",""10042"",""10041"",""10043"",""20016"",""20026"",""20043"",""20048"",""20042"",""20050""]",1,0,1
"[""10021"",""20011"",""20042"",""20035"",""10013"",""20048"",""20050"",""10020"",""10022"",""10030"",""10015"",""20036""]",1,0,1
"[""10021"",""20011"",""20042"",""20045"",""10013"",""20048"",""20050"",""10020"",""10022"",""10030"",""10042"",""20036""]",1,1,0
"[""10021"",""20014"",""10030"",""10023"",""10045"",""10013"",""20047"",""10014"",""10031"",""20043"",""10024"",""20042""]",2,1,1
"[""10021"",""20014"",""20034"",""20024"",""10019"",""20050"",""10030"",""10015"",""20046"",""20036"",""10028"",""10013""]",1,1,0
"[""10021"",""20016"",""10025"",""10028"",""20013"",""10042"",""20043"",""10010"",""20049"",""20048"",""10030"",""20050""]",2,0,2
"[""10021"",""20017"",""10010"",""10030"",""20011"",""10015"",""20049"",""20026"",""20044"",""20048"",""10020"",""20050""]",1,0,1
"[""10021"",""20020"",""10041"",""10030"",""10019"",""20026"",""20048"",""20050"",""10028"",""20016"",""10035"",""20049""]",1,0,1
"[""10021"",""20026"",""10018"",""20043"",""10028"",""20044"",""20036"",""20015"",""20047"",""10035"",""10037"",""10012""]",5,4,1
"[""10021"",""20026"",""10019"",""20050"",""20048"",""20044"",""10046"",""20012"",""10013"",""10029"",""10010"",""10028""]",2,1,1
"[""10021"",""20026"",""10019"",""20050"",""20048"",""20044"",""10046"",""20012"",""10016"",""10029"",""10034"",""10028""]",1,0,1
"[""10021"",""20026"",""10030"",""10010"",""20037"",""20044"",""20043"",""10023"",""10028"",""10037"",""20050"",""20013""]",2,1,1
"[""10021"",""20026"",""10030"",""10018"",""20037"",""20044"",""20043"",""10035"",""10028"",""10037"",""10022"",""20013""]",2,1,1
"[""10021"",""20026"",""10030"",""10039"",""20037"",""20044"",""20043"",""10035"",""10028"",""10037"",""20050"",""20013""]",1,0,1
"[""10021"",""20026"",""10030"",""20034"",""10018"",""20044"",""20043"",""10023"",""10028"",""10037"",""20050"",""20036""]",1,0,1
"[""10021"",""20026"",""10030"",""20034"",""20037"",""20044"",""20043"",""10023"",""10028"",""10037"",""20050"",""20013""]",1,0,1
"[""10021"",""20026"",""20011"",""10026"",""10028"",""20044"",""20036"",""20015"",""20047"",""10035"",""10037"",""10012""]",1,0,1
"[""10021"",""20026"",""20046"",""20033"",""10030"",""10028"",""20042"",""20016"",""20043"",""20048"",""20050"",""20044""]",2,0,2
"[""10021"",""20026"",""20050"",""10024"",""10028"",""20044"",""20048"",""10025"",""20049"",""10010"",""20016"",""10018""]",2,0,2
"[""10021"",""20030"",""10017"",""10028"",""10029"",""20016"",""10019"",""20050"",""20048"",""10018"",""10030"",""20033""]",1,1,0
"[""10021"",""20042"",""10046"",""10042"",""10041"",""10043"",""20016"",""20026"",""20044"",""20048"",""10038"",""20043""]",1,0,1
"[""10021"",""20042"",""20033"",""10043"",""20050"",""20048"",""20044"",""20043"",""10028"",""10014"",""20024"",""10010""]",1,0,1
"[""10021"",""20043"",""10030"",""10016"",""20014"",""10023"",""20011"",""20026"",""10028"",""20036"",""10017"",""20040""]",1,1,0
"[""10021"",""20043"",""10030"",""10016"",""20014"",""10023"",""20016"",""20026"",""10028"",""20036"",""10017"",""20040""]",1,0,1
"[""10021"",""20044"",""10028"",""20042"",""20036"",""10030"",""10018"",""20026"",""10042"",""20051"",""20049"",""10012""]",1,0,1
"[""10021"",""20044"",""10041"",""10030"",""10029"",""10034"",""20048"",""20050"",""10028"",""20016"",""10035"",""20049""]",1,1,0
"[""10021"",""20045"",""10037"",""10020"",""20034"",""10030"",""20016"",""20026"",""20014"",""10015"",""20050"",""10019""]",1,0,1
"[""10021"",""20045"",""10037"",""10020"",""20034"",""10030"",""20016"",""20026"",""20049"",""10015"",""20050"",""10019""]",1,0,1
"[""10021"",""20048"",""20050"",""10025"",""10030"",""20016"",""20026"",""10028"",""10016"",""10041"",""20044"",""10017""]",1,0,1
"[""10021"",""20048"",""20050"",""10025"",""10030"",""20016"",""20026"",""10028"",""10026"",""10035"",""20044"",""10017""]",1,1,0
"[""10021"",""20049"",""10037"",""10020"",""20034"",""10030"",""20016"",""20026"",""20047"",""10015"",""20050"",""10019""]",2,1,1
"[""10021"",""20050"",""10028"",""10020"",""20048"",""20026"",""10017"",""10013"",""20044"",""20010"",""10030"",""10043""]",1,1,0
"[""10021"",""20050"",""10030"",""10025"",""20011"",""20016"",""20043"",""20051"",""10010"",""10012"",""10031"",""10028""]",1,0,1
"[""10021"",""20050"",""10042"",""20048"",""20016"",""20046"",""10022"",""10018"",""10045"",""10029"",""20044"",""10012""]",1,0,1
"[""10021"",""20051"",""10024"",""10018"",""20050"",""20048"",""20044"",""10028"",""10017"",""10037"",""20049"",""10012""]",1,0,1
"[""10021"",""20051"",""10024"",""10018"",""20050"",""20048"",""20044"",""10028"",""10017"",""20030"",""20049"",""10012""]",1,0,1
"[""10021"",""20051"",""10024"",""10018"",""20050"",""20048"",""20044"",""10028"",""10017"",""20032"",""20049"",""10012""]",1,0,1
"[""10022"",""10010"",""20050"",""20016"",""20034"",""10031"",""10035"",""10037"",""10020"",""20044"",""10028"",""20043""]",1,0,1
"[""10022"",""10014"",""10020"",""10042"",""20025"",""10043"",""10013"",""10024"",""20044"",""20037"",""20033"",""10023""]",2,0,2
"[""10022"",""10025"",""10028"",""10031"",""20011"",""20050"",""10015"",""20031"",""10042"",""10043"",""10035"",""20022""]",1,0,1
"[""10022"",""10028"",""10011"",""10039"",""20010"",""20011"",""20042"",""10017"",""10044"",""10034"",""20050"",""20022""]",1,0,1
"[""10022"",""10028"",""10020"",""20011"",""20034"",""20026"",""20042"",""20021"",""20019"",""20050"",""20047"",""20027""]",1,0,1
"[""10022"",""10028"",""10038"",""10040"",""10018"",""10021"",""10043"",""10042"",""20042"",""20036"",""10030"",""10037""]",2,1,1
