,cards,battlenum,winnum,losenum,newCards,newCardsName
267,"[""10011"",""10010"",""20046"",""20014"",""10028"",""20043"",""20036"",""10032"",""20022"",""10024"",""20024"",""10014""]",1,1,0,"[10010, 10011, 10014, 10024, 10028, 10032, 20014, 20022, 20024, 20036, 20043, 20046]","['电吉他 和鸣', '纸巾 缠缠', '茶壶 灵愈', '书 幻梦', '羽毛球 拉丽', '自行车 闪电', '见证我！', '蓄力', '裂地斩', '巨雷枪', '爆裂药瓶', '重新出发']"
268,"[""10011"",""10010"",""20046"",""20014"",""20034"",""20043"",""20036"",""10032"",""20022"",""10024"",""20024"",""10014""]",4,0,4,"[10010, 10011, 10014, 10024, 10032, 20014, 20022, 20024, 20034, 20036, 20043, 20046]","['电吉他 和鸣', '纸巾 缠缠', '茶壶 灵愈', '书 幻梦', '自行车 闪电', '见证我！', '蓄力', '裂地斩', '补水计划', '巨雷枪', '爆裂药瓶', '重新出发']"
269,"[""10011"",""10017"",""10025"",""10028"",""10034"",""20043"",""20044"",""20050"",""20026"",""10030"",""10023"",""10021""]",3,1,2,"[10011, 10017, 10021, 10023, 10025, 10028, 10030, 10034, 20026, 20043, 20044, 20050]","['纸巾 缠缠', '电池 欧姆', '铅笔 追忆', '牙膏 露洁', '电池 伏特', '羽毛球 拉丽', '鼠标 点点', '剪刀 刺痛', '风暴针刺', '爆裂药瓶', '胡乱抓挠', '海浪冲击']"
270,"[""10011"",""10021"",""10038"",""10028"",""20044"",""20049"",""10014"",""10030"",""20026"",""20048"",""10020"",""10034""]",2,1,1,"[10011, 10014, 10020, 10021, 10028, 10030, 10034, 10038, 20026, 20044, 20048, 20049]","['纸巾 缠缠', '茶壶 灵愈', '时钟 晨曦', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '剪刀 刺痛', '红汽水 满满', '风暴针刺', '胡乱抓挠', '超电磁炮', '尖刺墙']"
271,"[""10011"",""10021"",""10038"",""10028"",""20044"",""20049"",""20017"",""10030"",""20026"",""20048"",""10020"",""10034""]",1,0,1,"[10011, 10020, 10021, 10028, 10030, 10034, 10038, 20017, 20026, 20044, 20048, 20049]","['纸巾 缠缠', '时钟 晨曦', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '剪刀 刺痛', '红汽水 满满', '精准爆破', '风暴针刺', '胡乱抓挠', '超电磁炮', '尖刺墙']"
272,"[""10011"",""10023"",""10030"",""10021"",""20026"",""10010"",""20044"",""10034"",""20024"",""10028"",""20050"",""20049""]",2,0,2,"[10010, 10011, 10021, 10023, 10028, 10030, 10034, 20024, 20026, 20044, 20049, 20050]","['电吉他 和鸣', '纸巾 缠缠', '铅笔 追忆', '牙膏 露洁', '羽毛球 拉丽', '鼠标 点点', '剪刀 刺痛', '裂地斩', '风暴针刺', '胡乱抓挠', '尖刺墙', '海浪冲击']"
273,"[""10011"",""10026"",""10013"",""10014"",""10028"",""20034"",""20050"",""20044"",""20024"",""10010"",""20039"",""20036""]",9,7,2,"[10010, 10011, 10013, 10014, 10026, 10028, 20024, 20034, 20036, 20039, 20044, 20050]","['电吉他 和鸣', '纸巾 缠缠', '雨伞 守心', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '裂地斩', '补水计划', '巨雷枪', '战术核武', '胡乱抓挠', '海浪冲击']"
274,"[""10011"",""10026"",""20046"",""10014"",""10028"",""20034"",""20050"",""20044"",""20024"",""10010"",""20039"",""20036""]",29,17,12,"[10010, 10011, 10014, 10026, 10028, 20024, 20034, 20036, 20039, 20044, 20046, 20050]","['电吉他 和鸣', '纸巾 缠缠', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '裂地斩', '补水计划', '巨雷枪', '战术核武', '胡乱抓挠', '重新出发', '海浪冲击']"
275,"[""10011"",""10028"",""20024"",""20014"",""20017"",""20044"",""20022"",""20026"",""20028"",""10035"",""20046"",""10010""]",1,0,1,"[10010, 10011, 10028, 10035, 20014, 20017, 20022, 20024, 20026, 20028, 20044, 20046]","['电吉他 和鸣', '纸巾 缠缠', '羽毛球 拉丽', '纯净水 浅浅', '见证我！', '精准爆破', '蓄力', '裂地斩', '风暴针刺', '冰冻炸弹', '胡乱抓挠', '重新出发']"
276,"[""10011"",""10028"",""20024"",""20014"",""20047"",""20044"",""20022"",""20026"",""20028"",""10035"",""20046"",""10010""]",1,0,1,"[10010, 10011, 10028, 10035, 20014, 20022, 20024, 20026, 20028, 20044, 20046, 20047]","['电吉他 和鸣', '纸巾 缠缠', '羽毛球 拉丽', '纯净水 浅浅', '见证我！', '蓄力', '裂地斩', '风暴针刺', '冰冻炸弹', '胡乱抓挠', '重新出发', '临摹']"
277,"[""10011"",""10029"",""10028"",""10012"",""10039"",""10021"",""10043"",""10030"",""10035"",""20016"",""20050"",""10018""]",2,0,2,"[10011, 10012, 10018, 10021, 10028, 10029, 10030, 10035, 10039, 10043, 20016, 20050]","['纸巾 缠缠', '摩托 赤狸', '萨克斯 莉莉', '铅笔 追忆', '羽毛球 拉丽', '姨妈巾 玫瑰', '鼠标 点点', '纯净水 浅浅', '绿汽水 浅浅', '刀 百炼', '引力炸弹', '海浪冲击']"
278,"[""10011"",""10045"",""10016"",""10014"",""10041"",""10026"",""20016"",""20010"",""20024"",""20046"",""10010"",""20050""]",1,0,1,"[10010, 10011, 10014, 10016, 10026, 10041, 10045, 20010, 20016, 20024, 20046, 20050]","['电吉他 和鸣', '纸巾 缠缠', '茶壶 灵愈', '电扇 彩虹', '爆米花 米莉', '肥皂 滑滑', '盔甲 怀抱', '有丝分裂', '引力炸弹', '裂地斩', '重新出发', '海浪冲击']"
279,"[""10011"",""20010"",""20048"",""10030"",""10021"",""10038"",""10028"",""20015"",""10031"",""20044"",""20026"",""10034""]",3,2,1,"[10011, 10021, 10028, 10030, 10031, 10034, 10038, 20010, 20015, 20026, 20044, 20048]","['纸巾 缠缠', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '注射器 针妮', '剪刀 刺痛', '红汽水 满满', '有丝分裂', '英勇祝福', '风暴针刺', '胡乱抓挠', '超电磁炮']"
280,"[""10011"",""20024"",""20036"",""20051"",""20038"",""20028"",""20026"",""20043"",""10028"",""20014"",""20047"",""20044""]",1,0,1,"[10011, 10028, 20014, 20024, 20026, 20028, 20036, 20038, 20043, 20044, 20047, 20051]","['纸巾 缠缠', '羽毛球 拉丽', '见证我！', '裂地斩', '风暴针刺', '冰冻炸弹', '巨雷枪', '飞砖', '爆裂药瓶', '胡乱抓挠', '临摹', '修建阵地']"
281,"[""10011"",""20034"",""20024"",""20014"",""20047"",""20044"",""20022"",""20026"",""20028"",""10035"",""20046"",""10010""]",2,2,0,"[10010, 10011, 10035, 20014, 20022, 20024, 20026, 20028, 20034, 20044, 20046, 20047]","['电吉他 和鸣', '纸巾 缠缠', '纯净水 浅浅', '见证我！', '蓄力', '裂地斩', '风暴针刺', '冰冻炸弹', '补水计划', '胡乱抓挠', '重新出发', '临摹']"
282,"[""10011"",""20034"",""20024"",""20051"",""20047"",""20028"",""20026"",""20043"",""10028"",""20014"",""20036"",""20044""]",1,0,1,"[10011, 10028, 20014, 20024, 20026, 20028, 20034, 20036, 20043, 20044, 20047, 20051]","['纸巾 缠缠', '羽毛球 拉丽', '见证我！', '裂地斩', '风暴针刺', '冰冻炸弹', '补水计划', '巨雷枪', '爆裂药瓶', '胡乱抓挠', '临摹', '修建阵地']"
283,"[""10011"",""20034"",""20026"",""20046"",""20014"",""20044"",""10028"",""20028"",""20047"",""20031"",""20017"",""10035""]",6,5,1,"[10011, 10028, 10035, 20014, 20017, 20026, 20028, 20031, 20034, 20044, 20046, 20047]","['纸巾 缠缠', '羽毛球 拉丽', '纯净水 浅浅', '见证我！', '精准爆破', '风暴针刺', '冰冻炸弹', '滋水', '补水计划', '胡乱抓挠', '重新出发', '临摹']"
284,"[""10011"",""20034"",""20031"",""20051"",""20047"",""20028"",""20026"",""20043"",""10028"",""20014"",""20036"",""20044""]",7,4,3,"[10011, 10028, 20014, 20026, 20028, 20031, 20034, 20036, 20043, 20044, 20047, 20051]","['纸巾 缠缠', '羽毛球 拉丽', '见证我！', '风暴针刺', '冰冻炸弹', '滋水', '补水计划', '巨雷枪', '爆裂药瓶', '胡乱抓挠', '临摹', '修建阵地']"
285,"[""10011"",""20034"",""20032"",""20051"",""20047"",""20028"",""20026"",""20043"",""10028"",""20014"",""20036"",""20044""]",2,1,1,"[10011, 10028, 20014, 20026, 20028, 20032, 20034, 20036, 20043, 20044, 20047, 20051]","['纸巾 缠缠', '羽毛球 拉丽', '见证我！', '风暴针刺', '冰冻炸弹', '奋力滋水', '补水计划', '巨雷枪', '爆裂药瓶', '胡乱抓挠', '临摹', '修建阵地']"
286,"[""10011"",""20043"",""10028"",""20021"",""20046"",""10027"",""20044"",""20014"",""20026"",""20037"",""20034"",""20036""]",5,5,0,"[10011, 10027, 10028, 20014, 20021, 20026, 20034, 20036, 20037, 20043, 20044, 20046]","['纸巾 缠缠', '牛奶 银河', '羽毛球 拉丽', '见证我！', '精准引导', '风暴针刺', '补水计划', '巨雷枪', '投石支援', '爆裂药瓶', '胡乱抓挠', '重新出发']"
287,"[""10011"",""20043"",""10028"",""20021"",""20046"",""10027"",""20044"",""20014"",""20026"",""20037"",""20034"",""20047""]",18,13,5,"[10011, 10027, 10028, 20014, 20021, 20026, 20034, 20037, 20043, 20044, 20046, 20047]","['纸巾 缠缠', '牛奶 银河', '羽毛球 拉丽', '见证我！', '精准引导', '风暴针刺', '补水计划', '投石支援', '爆裂药瓶', '胡乱抓挠', '重新出发', '临摹']"
288,"[""10011"",""20043"",""10028"",""20021"",""20046"",""10027"",""20044"",""20014"",""20026"",""20047"",""20034"",""20036""]",9,6,3,"[10011, 10027, 10028, 20014, 20021, 20026, 20034, 20036, 20043, 20044, 20046, 20047]","['纸巾 缠缠', '牛奶 银河', '羽毛球 拉丽', '见证我！', '精准引导', '风暴针刺', '补水计划', '巨雷枪', '爆裂药瓶', '胡乱抓挠', '重新出发', '临摹']"
289,"[""10011"",""20044"",""20026"",""10030"",""10021"",""20043"",""20048"",""20050"",""10040"",""20015"",""20010"",""10028""]",3,2,1,"[10011, 10021, 10028, 10030, 10040, 20010, 20015, 20026, 20043, 20044, 20048, 20050]","['纸巾 缠缠', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '绿汽水 满满', '有丝分裂', '英勇祝福', '风暴针刺', '爆裂药瓶', '胡乱抓挠', '超电磁炮', '海浪冲击']"
290,"[""10011"",""20044"",""20046"",""10014"",""10028"",""20034"",""20050"",""20026"",""20024"",""10010"",""20039"",""20036""]",10,9,1,"[10010, 10011, 10014, 10028, 20024, 20026, 20034, 20036, 20039, 20044, 20046, 20050]","['电吉他 和鸣', '纸巾 缠缠', '茶壶 灵愈', '羽毛球 拉丽', '裂地斩', '风暴针刺', '补水计划', '巨雷枪', '战术核武', '胡乱抓挠', '重新出发', '海浪冲击']"
291,"[""10011"",""20045"",""10014"",""10010"",""10027"",""20016"",""20024"",""20050"",""20027"",""20046"",""10026"",""20022""]",2,1,1,"[10010, 10011, 10014, 10026, 10027, 20016, 20022, 20024, 20027, 20045, 20046, 20050]","['电吉他 和鸣', '纸巾 缠缠', '茶壶 灵愈', '爆米花 米莉', '牛奶 银河', '引力炸弹', '蓄力', '裂地斩', '嗜血杀戮', '接力', '重新出发', '海浪冲击']"
292,"[""10011"",""20045"",""10014"",""10012"",""10027"",""20016"",""20024"",""20050"",""20027"",""20046"",""10026"",""20022""]",4,2,2,"[10011, 10012, 10014, 10026, 10027, 20016, 20022, 20024, 20027, 20045, 20046, 20050]","['纸巾 缠缠', '摩托 赤狸', '茶壶 灵愈', '爆米花 米莉', '牛奶 银河', '引力炸弹', '蓄力', '裂地斩', '嗜血杀戮', '接力', '重新出发', '海浪冲击']"
293,"[""10011"",""20046"",""20014"",""20050"",""20047"",""20026"",""20011"",""10028"",""20034"",""10026"",""20024"",""10014""]",2,1,1,"[10011, 10014, 10026, 10028, 20011, 20014, 20024, 20026, 20034, 20046, 20047, 20050]","['纸巾 缠缠', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '魅惑', '见证我！', '裂地斩', '风暴针刺', '补水计划', '重新出发', '临摹', '海浪冲击']"
294,"[""10011"",""20046"",""20036"",""20050"",""20047"",""20026"",""20044"",""10028"",""20038"",""10026"",""20024"",""10014""]",4,2,2,"[10011, 10014, 10026, 10028, 20024, 20026, 20036, 20038, 20044, 20046, 20047, 20050]","['纸巾 缠缠', '茶壶 灵愈', '爆米花 米莉', '羽毛球 拉丽', '裂地斩', '风暴针刺', '巨雷枪', '飞砖', '胡乱抓挠', '重新出发', '临摹', '海浪冲击']"
295,"[""10011"",""20049"",""20036"",""20050"",""20047"",""20026"",""20014"",""20034"",""20038"",""20016"",""20024"",""10014""]",1,0,1,"[10011, 10014, 20014, 20016, 20024, 20026, 20034, 20036, 20038, 20047, 20049, 20050]","['纸巾 缠缠', '茶壶 灵愈', '见证我！', '引力炸弹', '裂地斩', '风暴针刺', '补水计划', '巨雷枪', '飞砖', '临摹', '尖刺墙', '海浪冲击']"
296,"[""10012"",""10014"",""10022"",""10028"",""10029"",""10031"",""20050"",""20016"",""20034"",""10023"",""20036"",""20026""]",5,4,1,"[10012, 10014, 10022, 10023, 10028, 10029, 10031, 20016, 20026, 20034, 20036, 20050]","['摩托 赤狸', '茶壶 灵愈', '橡皮 忘怀', '牙膏 露洁', '羽毛球 拉丽', '姨妈巾 玫瑰', '注射器 针妮', '引力炸弹', '风暴针刺', '补水计划', '巨雷枪', '海浪冲击']"
297,"[""10012"",""10016"",""10022"",""10028"",""10029"",""10031"",""20050"",""20016"",""20034"",""10023"",""20036"",""20026""]",1,0,1,"[10012, 10016, 10022, 10023, 10028, 10029, 10031, 20016, 20026, 20034, 20036, 20050]","['摩托 赤狸', '电扇 彩虹', '橡皮 忘怀', '牙膏 露洁', '羽毛球 拉丽', '姨妈巾 玫瑰', '注射器 针妮', '引力炸弹', '风暴针刺', '补水计划', '巨雷枪', '海浪冲击']"
298,"[""10012"",""10017"",""10021"",""10032"",""10034"",""10035"",""10044"",""20026"",""10030"",""20048"",""20024"",""10016""]",1,0,1,"[10012, 10016, 10017, 10021, 10030, 10032, 10034, 10035, 10044, 20024, 20026, 20048]","['摩托 赤狸', '电扇 彩虹', '电池 欧姆', '铅笔 追忆', '鼠标 点点', '自行车 闪电', '剪刀 刺痛', '纯净水 浅浅', '煤油灯 流露', '裂地斩', '风暴针刺', '超电磁炮']"
299,"[""10012"",""10017"",""10025"",""10028"",""10034"",""20034"",""10019"",""10021"",""20014"",""20036"",""20026"",""10013""]",1,0,1,"[10012, 10013, 10017, 10019, 10021, 10025, 10028, 10034, 20014, 20026, 20034, 20036]","['摩托 赤狸', '雨伞 守心', '电池 欧姆', '电池 焦耳', '铅笔 追忆', '电池 伏特', '羽毛球 拉丽', '剪刀 刺痛', '见证我！', '风暴针刺', '补水计划', '巨雷枪']"
300,"[""10012"",""10018"",""20011"",""20016"",""10030"",""20050"",""20048"",""10028"",""20042"",""20026"",""10038"",""10042""]",1,0,1,"[10012, 10018, 10028, 10030, 10038, 10042, 20011, 20016, 20026, 20042, 20048, 20050]","['摩托 赤狸', '萨克斯 莉莉', '羽毛球 拉丽', '鼠标 点点', '红汽水 满满', '刀 藏锋', '魅惑', '引力炸弹', '风暴针刺', '协力攻击', '超电磁炮', '海浪冲击']"
301,"[""10012"",""10021"",""20011"",""20016"",""10030"",""20050"",""20048"",""10028"",""20042"",""20026"",""10038"",""10042""]",1,0,1,"[10012, 10021, 10028, 10030, 10038, 10042, 20011, 20016, 20026, 20042, 20048, 20050]","['摩托 赤狸', '铅笔 追忆', '羽毛球 拉丽', '鼠标 点点', '红汽水 满满', '刀 藏锋', '魅惑', '引力炸弹', '风暴针刺', '协力攻击', '超电磁炮', '海浪冲击']"
302,"[""10012"",""10025"",""10028"",""10038"",""20037"",""20048"",""10015"",""20044"",""20016"",""10043"",""10021"",""10030""]",1,0,1,"[10012, 10015, 10021, 10025, 10028, 10030, 10038, 10043, 20016, 20037, 20044, 20048]","['摩托 赤狸', '留声机 回音', '铅笔 追忆', '电池 伏特', '羽毛球 拉丽', '鼠标 点点', '红汽水 满满', '刀 百炼', '引力炸弹', '投石支援', '胡乱抓挠', '超电磁炮']"
303,"[""10012"",""10025"",""10032"",""10016"",""20049"",""10023"",""20016"",""20026"",""20022"",""20036"",""10017"",""20050""]",2,1,1,"[10012, 10016, 10017, 10023, 10025, 10032, 20016, 20022, 20026, 20036, 20049, 20050]","['摩托 赤狸', '电扇 彩虹', '电池 欧姆', '牙膏 露洁', '电池 伏特', '自行车 闪电', '引力炸弹', '蓄力', '风暴针刺', '巨雷枪', '尖刺墙', '海浪冲击']"
304,"[""10012"",""10027"",""10028"",""20032"",""20050"",""20033"",""20026"",""20044"",""20036"",""20039"",""20048"",""20018""]",2,0,2,"[10012, 10027, 10028, 20018, 20026, 20032, 20033, 20036, 20039, 20044, 20048, 20050]","['摩托 赤狸', '牛奶 银河', '羽毛球 拉丽', '引导', '风暴针刺', '奋力滋水', '全力滋水', '巨雷枪', '战术核武', '胡乱抓挠', '超电磁炮', '海浪冲击']"
305,"[""10012"",""10027"",""20024"",""20014"",""20050"",""10026"",""20026"",""20044"",""20036"",""10028"",""20034"",""20018""]",3,1,2,"[10012, 10026, 10027, 10028, 20014, 20018, 20024, 20026, 20034, 20036, 20044, 20050]","['摩托 赤狸', '爆米花 米莉', '牛奶 银河', '羽毛球 拉丽', '见证我！', '引导', '裂地斩', '风暴针刺', '补水计划', '巨雷枪', '胡乱抓挠', '海浪冲击']"
306,"[""10012"",""10027"",""20024"",""20014"",""20050"",""20043"",""20026"",""20044"",""20036"",""10028"",""20034"",""20018""]",3,2,1,"[10012, 10027, 10028, 20014, 20018, 20024, 20026, 20034, 20036, 20043, 20044, 20050]","['摩托 赤狸', '牛奶 银河', '羽毛球 拉丽', '见证我！', '引导', '裂地斩', '风暴针刺', '补水计划', '巨雷枪', '爆裂药瓶', '胡乱抓挠', '海浪冲击']"
307,"[""10012"",""10027"",""20024"",""20032"",""20050"",""10026"",""20026"",""20044"",""20036"",""10041"",""20048"",""20018""]",4,1,3,"[10012, 10026, 10027, 10041, 20018, 20024, 20026, 20032, 20036, 20044, 20048, 20050]","['摩托 赤狸', '爆米花 米莉', '牛奶 银河', '肥皂 滑滑', '引导', '裂地斩', '风暴针刺', '奋力滋水', '巨雷枪', '胡乱抓挠', '超电磁炮', '海浪冲击']"
308,"[""10012"",""10028"",""10035"",""10037"",""10041"",""20011"",""20016"",""20044"",""20048"",""20050"",""20026"",""10030""]",2,0,2,"[10012, 10028, 10030, 10035, 10037, 10041, 20011, 20016, 20026, 20044, 20048, 20050]","['摩托 赤狸', '羽毛球 拉丽', '鼠标 点点', '纯净水 浅浅', '红汽水 浅浅', '肥皂 滑滑', '魅惑', '引力炸弹', '风暴针刺', '胡乱抓挠', '超电磁炮', '海浪冲击']"
309,"[""10012"",""10033"",""10026"",""10038"",""10044"",""20048"",""20050"",""20044"",""10028"",""10016"",""10029"",""10030""]",2,1,1,"[10012, 10016, 10026, 10028, 10029, 10030, 10033, 10038, 10044, 20044, 20048, 20050]","['摩托 赤狸', '电扇 彩虹', '爆米花 米莉', '羽毛球 拉丽', '姨妈巾 玫瑰', '鼠标 点点', '蜡烛 热泪', '红汽水 满满', '煤油灯 流露', '胡乱抓挠', '超电磁炮', '海浪冲击']"
310,"[""10012"",""10033"",""10026"",""10038"",""10044"",""20048"",""20050"",""20044"",""10028"",""10016"",""20042"",""10030""]",4,2,2,"[10012, 10016, 10026, 10028, 10030, 10033, 10038, 10044, 20042, 20044, 20048, 20050]","['摩托 赤狸', '电扇 彩虹', '爆米花 米莉', '羽毛球 拉丽', '鼠标 点点', '蜡烛 热泪', '红汽水 满满', '煤油灯 流露', '协力攻击', '胡乱抓挠', '超电磁炮', '海浪冲击']"
311,"[""10012"",""10036"",""10032"",""10016"",""20049"",""10023"",""20016"",""20026"",""20022"",""20036"",""10038"",""20050""]",1,0,1,"[10012, 10016, 10023, 10032, 10036, 10038, 20016, 20022, 20026, 20036, 20049, 20050]","['摩托 赤狸', '电扇 彩虹', '牙膏 露洁', '自行车 闪电', '纯净水 满满', '红汽水 满满', '引力炸弹', '蓄力', '风暴针刺', '巨雷枪', '尖刺墙', '海浪冲击']"
312,"[""10012"",""10036"",""10032"",""10029"",""20049"",""10025"",""20016"",""20026"",""20044"",""20036"",""10038"",""20050""]",1,1,0,"[10012, 10025, 10029, 10032, 10036, 10038, 20016, 20026, 20036, 20044, 20049, 20050]","['摩托 赤狸', '电池 伏特', '姨妈巾 玫瑰', '自行车 闪电', '纯净水 满满', '红汽水 满满', '引力炸弹', '风暴针刺', '巨雷枪', '胡乱抓挠', '尖刺墙', '海浪冲击']"
313,"[""10012"",""10043"",""20042"",""20026"",""20015"",""20043"",""10030"",""10014"",""20016"",""20048"",""20050"",""10042""]",2,0,2,"[10012, 10014, 10030, 10042, 10043, 20015, 20016, 20026, 20042, 20043, 20048, 20050]","['摩托 赤狸', '茶壶 灵愈', '鼠标 点点', '刀 藏锋', '刀 百炼', '英勇祝福', '引力炸弹', '风暴针刺', '协力攻击', '爆裂药瓶', '超电磁炮', '海浪冲击']"
314,"[""10012"",""20016"",""20017"",""20050"",""20048"",""20049"",""20044"",""20026"",""20041"",""10028"",""20043"",""20011""]",1,0,1,"[10012, 10028, 20011, 20016, 20017, 20026, 20041, 20043, 20044, 20048, 20049, 20050]","['摩托 赤狸', '羽毛球 拉丽', '魅惑', '引力炸弹', '精准爆破', '风暴针刺', '巨兽陷阱', '爆裂药瓶', '胡乱抓挠', '超电磁炮', '尖刺墙', '海浪冲击']"
315,"[""10012"",""20024"",""10041"",""10028"",""10025"",""20011"",""20014"",""10034"",""20016"",""20034"",""20036"",""20043""]",2,1,1,"[10012, 10025, 10028, 10034, 10041, 20011, 20014, 20016, 20024, 20034, 20036, 20043]","['摩托 赤狸', '电池 伏特', '羽毛球 拉丽', '剪刀 刺痛', '肥皂 滑滑', '魅惑', '见证我！', '引力炸弹', '裂地斩', '补水计划', '巨雷枪', '爆裂药瓶']"
316,"[""10012"",""20026"",""20048"",""20012"",""20050"",""20025"",""20011"",""20043"",""20038"",""10032"",""20049"",""20017""]",2,0,2,"[10012, 10032, 20011, 20012, 20017, 20025, 20026, 20038, 20043, 20048, 20049, 20050]","['摩托 赤狸', '自行车 闪电', '魅惑', '弹射锯片', '精准爆破', '修建工事', '风暴针刺', '飞砖', '爆裂药瓶', '超电磁炮', '尖刺墙', '海浪冲击']"
317,"[""10012"",""20026"",""20048"",""20041"",""20050"",""20025"",""20011"",""20043"",""20038"",""10032"",""20049"",""20017""]",2,0,2,"[10012, 10032, 20011, 20017, 20025, 20026, 20038, 20041, 20043, 20048, 20049, 20050]","['摩托 赤狸', '自行车 闪电', '魅惑', '精准爆破', '修建工事', '风暴针刺', '飞砖', '巨兽陷阱', '爆裂药瓶', '超电磁炮', '尖刺墙', '海浪冲击']"
318,"[""10012"",""20034"",""20014"",""20016"",""20021"",""20011"",""20041"",""20048"",""20026"",""20043"",""20039"",""20033""]",1,1,0,"[10012, 20011, 20014, 20016, 20021, 20026, 20033, 20034, 20039, 20041, 20043, 20048]","['摩托 赤狸', '魅惑', '见证我！', '引力炸弹', '精准引导', '风暴针刺', '全力滋水', '补水计划', '战术核武', '巨兽陷阱', '爆裂药瓶', '超电磁炮']"
319,"[""10012"",""20038"",""20022"",""20031"",""20046"",""20024"",""10011"",""20047"",""10028"",""20014"",""10035"",""20028""]",1,1,0,"[10011, 10012, 10028, 10035, 20014, 20022, 20024, 20028, 20031, 20038, 20046, 20047]","['纸巾 缠缠', '摩托 赤狸', '羽毛球 拉丽', '纯净水 浅浅', '见证我！', '蓄力', '裂地斩', '冰冻炸弹', '滋水', '飞砖', '重新出发', '临摹']"
320,"[""10012"",""20049"",""20012"",""20041"",""10017"",""10034"",""10016"",""20011"",""20050"",""20048"",""10028"",""10014""]",1,0,1,"[10012, 10014, 10016, 10017, 10028, 10034, 20011, 20012, 20041, 20048, 20049, 20050]","['摩托 赤狸', '茶壶 灵愈', '电扇 彩虹', '电池 欧姆', '羽毛球 拉丽', '剪刀 刺痛', '魅惑', '弹射锯片', '巨兽陷阱', '超电磁炮', '尖刺墙', '海浪冲击']"
321,"[""10012"",""20049"",""20012"",""20041"",""20036"",""10034"",""10016"",""20011"",""20050"",""20034"",""10028"",""20026""]",2,2,0,"[10012, 10016, 10028, 10034, 20011, 20012, 20026, 20034, 20036, 20041, 20049, 20050]","['摩托 赤狸', '电扇 彩虹', '羽毛球 拉丽', '剪刀 刺痛', '魅惑', '弹射锯片', '风暴针刺', '补水计划', '巨雷枪', '巨兽陷阱', '尖刺墙', '海浪冲击']"
322,"[""10012"",""20050"",""20016"",""10024"",""20018"",""10035"",""10028"",""10026"",""20017"",""20046"",""20043"",""20037""]",1,0,1,"[10012, 10024, 10026, 10028, 10035, 20016, 20017, 20018, 20037, 20043, 20046, 20050]","['摩托 赤狸', '书 幻梦', '爆米花 米莉', '羽毛球 拉丽', '纯净水 浅浅', '引力炸弹', '精准爆破', '引导', '投石支援', '爆裂药瓶', '重新出发', '海浪冲击']"
323,"[""10012"",""20050"",""20016"",""10024"",""20033"",""10035"",""10037"",""10026"",""20017"",""20046"",""20043"",""20037""]",1,1,0,"[10012, 10024, 10026, 10035, 10037, 20016, 20017, 20033, 20037, 20043, 20046, 20050]","['摩托 赤狸', '书 幻梦', '爆米花 米莉', '纯净水 浅浅', '红汽水 浅浅', '引力炸弹', '精准爆破', '全力滋水', '投石支援', '爆裂药瓶', '重新出发', '海浪冲击']"
324,"[""10012"",""20050"",""20016"",""20048"",""10021"",""10030"",""10028"",""10014"",""10041"",""10026"",""20044"",""10039""]",2,0,2,"[10012, 10014, 10021, 10026, 10028, 10030, 10039, 10041, 20016, 20044, 20048, 20050]","['摩托 赤狸', '茶壶 灵愈', '铅笔 追忆', '爆米花 米莉', '羽毛球 拉丽', '鼠标 点点', '绿汽水 浅浅', '肥皂 滑滑', '引力炸弹', '胡乱抓挠', '超电磁炮', '海浪冲击']"
325,"[""10013"",""10010"",""10026"",""10014"",""20016"",""20050"",""10024"",""10045"",""20043"",""20038"",""10016"",""10025""]",2,0,2,"[10010, 10013, 10014, 10016, 10024, 10025, 10026, 10045, 20016, 20038, 20043, 20050]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '电扇 彩虹', '书 幻梦', '电池 伏特', '爆米花 米莉', '盔甲 怀抱', '引力炸弹', '飞砖', '爆裂药瓶', '海浪冲击']"
326,"[""10013"",""10010"",""10026"",""10032"",""10041"",""10014"",""10025"",""10028"",""20036"",""20044"",""20034"",""10045""]",1,0,1,"[10010, 10013, 10014, 10025, 10026, 10028, 10032, 10041, 10045, 20034, 20036, 20044]","['电吉他 和鸣', '雨伞 守心', '茶壶 灵愈', '电池 伏特', '爆米花 米莉', '羽毛球 拉丽', '自行车 闪电', '肥皂 滑滑', '盔甲 怀抱', '补水计划', '巨雷枪', '胡乱抓挠']"
327,"[""10013"",""10010"",""10026"",""20015"",""20051"",""10045"",""10020"",""10034"",""20011"",""20043"",""20044"",""10042""]",2,0,2,"[10010, 10013, 10020, 10026, 10034, 10042, 10045, 20011, 20015, 20043, 20044, 20051]","['电吉他 和鸣', '雨伞 守心', '时钟 晨曦', '爆米花 米莉', '剪刀 刺痛', '刀 藏锋', '盔甲 怀抱', '魅惑', '英勇祝福', '爆裂药瓶', '胡乱抓挠', '修建阵地']"
